reg;semaine_glissante;pop;P;T;nom_region
01;2020-12-20-2020-12-26;376879;67;2460;Guadeloupe
01;2020-12-21-2020-12-27;376879;70;2469;Guadeloupe
01;2020-12-22-2020-12-28;376879;76;2592;Guadeloupe
01;2020-12-23-2020-12-29;376879;81;2751;Guadeloupe
01;2020-12-24-2020-12-30;376879;86;3261;Guadeloupe
01;2020-12-25-2020-12-31;376879;82;4168;Guadeloupe
01;2020-12-26-2021-01-01;376879;83;4243;Guadeloupe
01;2020-12-27-2021-01-02;376879;104;4925;Guadeloupe
01;2020-12-28-2021-01-03;376879;101;4966;Guadeloupe
01;2020-12-29-2021-01-04;376879;104;5132;Guadeloupe
01;2020-12-30-2021-01-05;376879;111;5159;Guadeloupe
01;2020-12-31-2021-01-06;376879;110;4751;Guadeloupe
01;2021-01-01-2021-01-07;376879;116;3991;Guadeloupe
01;2021-01-02-2021-01-08;376879;133;4472;Guadeloupe
01;2021-01-03-2021-01-09;376879;120;3757;Guadeloupe
01;2021-01-04-2021-01-10;376879;120;3694;Guadeloupe
01;2021-01-05-2021-01-11;376879;122;3356;Guadeloupe
01;2021-01-06-2021-01-12;376879;123;3287;Guadeloupe
01;2021-01-07-2021-01-13;376879;124;3234;Guadeloupe
01;2021-01-08-2021-01-14;376879;114;3254;Guadeloupe
01;2021-01-09-2021-01-15;376879;103;3186;Guadeloupe
01;2021-01-10-2021-01-16;376879;102;3211;Guadeloupe
01;2021-01-11-2021-01-17;376879;101;3214;Guadeloupe
01;2021-01-12-2021-01-18;376879;107;3327;Guadeloupe
01;2021-01-13-2021-01-19;376879;102;3380;Guadeloupe
01;2021-01-14-2021-01-20;376879;101;3467;Guadeloupe
01;2021-01-15-2021-01-21;376879;103;3491;Guadeloupe
01;2021-01-16-2021-01-22;376879;116;3647;Guadeloupe
01;2021-01-17-2021-01-23;376879;116;3637;Guadeloupe
01;2021-01-18-2021-01-24;376879;117;3639;Guadeloupe
01;2021-01-19-2021-01-25;376879;117;3748;Guadeloupe
01;2021-01-20-2021-01-26;376879;113;3878;Guadeloupe
01;2021-01-21-2021-01-27;376879;105;4025;Guadeloupe
01;2021-01-22-2021-01-28;376879;111;4207;Guadeloupe
01;2021-01-23-2021-01-29;376879;109;4238;Guadeloupe
01;2021-01-24-2021-01-30;376879;112;4239;Guadeloupe
01;2021-01-25-2021-01-31;376879;116;4230;Guadeloupe
01;2021-01-26-2021-02-01;376879;116;4289;Guadeloupe
01;2021-01-27-2021-02-02;376879;125;4356;Guadeloupe
01;2021-01-28-2021-02-03;376879;141;4228;Guadeloupe
01;2021-01-29-2021-02-04;376879;146;4109;Guadeloupe
01;2021-01-30-2021-02-05;376879;148;4107;Guadeloupe
01;2021-01-31-2021-02-06;376879;141;4045;Guadeloupe
01;2021-02-01-2021-02-07;376879;138;4046;Guadeloupe
01;2021-02-02-2021-02-08;376879;142;3957;Guadeloupe
01;2021-02-03-2021-02-09;376879;160;3917;Guadeloupe
01;2021-02-04-2021-02-10;376879;157;3956;Guadeloupe
01;2021-02-05-2021-02-11;376879;169;3873;Guadeloupe
01;2021-02-06-2021-02-12;376879;186;3689;Guadeloupe
01;2021-02-07-2021-02-13;376879;185;3726;Guadeloupe
01;2021-02-08-2021-02-14;376879;192;3732;Guadeloupe
01;2021-02-09-2021-02-15;376879;204;3584;Guadeloupe
01;2021-02-10-2021-02-16;376879;173;3120;Guadeloupe
01;2021-02-11-2021-02-17;376879;158;2684;Guadeloupe
01;2021-02-12-2021-02-18;376879;179;2818;Guadeloupe
01;2021-02-13-2021-02-19;376879;205;2978;Guadeloupe
01;2021-02-14-2021-02-20;376879;223;3063;Guadeloupe
01;2021-02-15-2021-02-21;376879;218;3069;Guadeloupe
01;2021-02-16-2021-02-22;376879;269;3359;Guadeloupe
01;2021-02-17-2021-02-23;376879;325;3814;Guadeloupe
01;2021-02-18-2021-02-24;376879;364;4228;Guadeloupe
01;2021-02-19-2021-02-25;376879;377;4231;Guadeloupe
01;2021-02-20-2021-02-26;376879;398;4444;Guadeloupe
01;2021-02-21-2021-02-27;376879;403;4468;Guadeloupe
01;2021-02-22-2021-02-28;376879;414;4498;Guadeloupe
01;2021-02-23-2021-03-01;376879;434;4578;Guadeloupe
01;2021-02-24-2021-03-02;376879;459;4744;Guadeloupe
01;2021-02-25-2021-03-03;376879;469;4926;Guadeloupe
01;2021-02-26-2021-03-04;376879;462;5110;Guadeloupe
01;2021-02-27-2021-03-05;376879;437;5085;Guadeloupe
01;2021-02-28-2021-03-06;376879;426;5102;Guadeloupe
01;2021-03-01-2021-03-07;376879;425;5070;Guadeloupe
01;2021-03-02-2021-03-08;376879;378;4932;Guadeloupe
01;2021-03-03-2021-03-09;376879;346;4866;Guadeloupe
01;2021-03-04-2021-03-10;376879;327;4874;Guadeloupe
01;2021-03-05-2021-03-11;376879;295;4446;Guadeloupe
01;2021-03-06-2021-03-12;376879;309;4541;Guadeloupe
01;2021-03-07-2021-03-13;376879;315;4522;Guadeloupe
01;2021-03-08-2021-03-14;376879;314;4520;Guadeloupe
01;2021-03-09-2021-03-15;376879;355;4441;Guadeloupe
01;2021-03-10-2021-03-16;376879;377;4491;Guadeloupe
01;2021-03-11-2021-03-17;376879;392;4324;Guadeloupe
01;2021-03-12-2021-03-18;376879;426;4617;Guadeloupe
01;2021-03-13-2021-03-19;376879;427;4517;Guadeloupe
01;2021-03-14-2021-03-20;376879;429;4603;Guadeloupe
01;2021-03-15-2021-03-21;376879;429;4624;Guadeloupe
01;2021-03-16-2021-03-22;376879;384;4598;Guadeloupe
01;2021-03-17-2021-03-23;376879;375;4621;Guadeloupe
01;2021-03-18-2021-03-24;376879;389;4727;Guadeloupe
01;2021-03-19-2021-03-25;376879;382;4855;Guadeloupe
01;2021-03-20-2021-03-26;376879;381;4829;Guadeloupe
01;2021-03-21-2021-03-27;376879;381;4845;Guadeloupe
01;2021-03-22-2021-03-28;376879;379;4826;Guadeloupe
01;2021-03-23-2021-03-29;376879;387;4850;Guadeloupe
